jeudi 12 décembre 2024	17:05:14	Sampling Period : 50  ms		Experiment

t	Alpha1L		Alpha2L		Alpha1R		Alpha2R		T_Alpha1L	T_Alpha2L	T_Alpha1R	T_Alpha2R
374	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
375	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
376	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
377	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
378	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
379	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
380	826,000000E+0	1,459000E+3	0,000000E+0	0,000000E+0
381	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
382	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
383	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
384	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
385	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
386	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
387	826,000000E+0	1,459000E+3	0,000000E+0	0,000000E+0
388	827,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
389	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
