jeudi 12 décembre 2024	17:09:28	Sampling Period : 50  ms		Experiment

t	Alpha1L		Alpha2L		Alpha1R		Alpha2R		T_Alpha1L	T_Alpha2L	T_Alpha1R	T_Alpha2R
330	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
331	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
332	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
333	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
334	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
335	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
336	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
337	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
338	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
339	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
340	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
341	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
342	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
343	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
344	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
345	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
346	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
347	1,217000E+3	586,000000E+0	0,000000E+0	0,000000E+0
348	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
349	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
350	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
351	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
352	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
353	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
354	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
355	1,217000E+3	586,000000E+0	0,000000E+0	0,000000E+0
356	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
357	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
358	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
359	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
360	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
361	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
362	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
363	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
364	1,217000E+3	586,000000E+0	0,000000E+0	0,000000E+0
365	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
366	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
367	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
368	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
369	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
370	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
371	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
372	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
373	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
374	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
375	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
376	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
377	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
378	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
379	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
380	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
381	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
382	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
383	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
384	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
385	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
386	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
387	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
388	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
389	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
